sequence_id,scenario,scenario_name,run_id,seed,api_elapsed_seconds,api_elapsed_ms,submitted_tx,routed_tx,finality_certificates,receipts,reward_events,total_reward,quarantine_events,reconfiguration_events,evidence_events,active_validators,quarantined_validators,finality_success_rate,receipt_success_rate,model_logical_throughput,mean_finality_latency_logical,mean_receipt_latency_logical,cross_shard_ratio,shard1_load,shard2_load,shard_load_std,reward_gini,reward_hhi,owner_concentration,nakamoto_coefficient,malicious_committee_probability,real_submitted_tx_per_sec,real_finality_certs_per_sec,real_receipts_per_sec,real_rewards_per_sec
28,Q1,Normal Qtum mobile contract request,28,654,0.00790183,7.9018,227,227,225,221,663,3315,0,2,679,12,0,99.1189,97.3568,2.21,17.8334,23.39,11.4537,97.127,97.2199,0.0464,27.8281,22.0545,31.4932,2,0.0,28727.5153,28474.4095,27968.1978,83904.5933
29,Q1,Normal Qtum mobile contract request,29,655,0.0082959,8.2959,232,232,228,221,663,3315,0,2,692,12,0,98.2759,95.2586,2.21,17.8861,23.4447,15.0862,98.3118,98.1151,0.0983,29.095,22.2383,33.1222,2,0.0,27965.6148,27483.4491,26639.659,79918.9769
30,Q1,Normal Qtum mobile contract request,30,656,0.01240799,12.408,250,250,246,240,720,3600,0,2,746,12,0,98.4,96.0,2.4,17.7263,23.2363,12.4,92.3572,92.6851,0.164,32.4667,28.0544,41.1667,1,0.0,20148.3109,19825.9379,19342.3785,58027.1354
31,Q1,Normal Qtum mobile contract request,31,657,0.00739126,7.3913,191,191,188,183,549,2745,0,2,570,12,0,98.4293,95.8115,1.83,18.0154,23.3569,16.7539,85.0457,85.0465,0.0004,41.1366,40.0202,60.0,1,0.0,25841.349,25435.4639,24758.9888,74276.9665
32,Q1,Normal Qtum mobile contract request,32,658,0.00764172,7.6417,237,237,235,232,696,3480,0,2,709,12,0,99.1561,97.8903,2.32,17.6047,23.1615,10.5485,106.2626,105.9464,0.1581,33.2414,28.3853,36.8966,1,0.0,31013.9643,30752.243,30359.6612,91078.9837
33,Q1,Normal Qtum mobile contract request,33,659,0.00726483,7.2648,213,213,210,205,615,3075,0,2,636,12,0,98.5915,96.2441,2.05,17.8415,23.4645,13.1455,103.1315,103.0418,0.0449,27.0081,22.0047,30.439,2,0.0,29319.3371,28906.3887,28218.1414,84654.4241
34,Q1,Normal Qtum mobile contract request,34,660,0.01270439,12.7044,244,244,241,237,711,3555,0,2,729,12,0,98.7705,97.1311,2.37,17.7185,23.1581,11.8852,100.2555,99.9202,0.1676,29.7187,22.3764,33.9241,1,0.0,19205.9656,18969.8266,18654.9747,55964.9242
35,Q1,Normal Qtum mobile contract request,35,661,0.00819276,8.1928,218,218,215,212,636,3180,0,2,651,12,0,98.6239,97.2477,2.12,17.6514,23.1425,11.4679,99.8775,99.3952,0.2412,28.2075,22.0959,31.9811,2,0.0,26608.8693,26242.6922,25876.5151,77629.5452
36,Q1,Normal Qtum mobile contract request,36,662,0.00867935,8.6794,257,257,253,250,750,3750,0,2,767,12,0,98.4436,97.2763,2.5,17.7185,23.1891,11.284,110.4331,110.5557,0.0613,32.0,28.0,40.0,1,0.0,29610.4953,29149.6315,28803.9837,86411.9511
37,Q1,Normal Qtum mobile contract request,37,663,0.00705982,7.0598,202,202,199,196,588,2940,0,2,603,12,0,98.5149,97.0297,1.96,17.8482,23.4698,14.3564,83.432,83.4491,0.0086,32.898,28.2016,42.2449,1,0.0,28612.6316,28187.6915,27762.7514,83288.2543
38,Q1,Normal Qtum mobile contract request,38,664,0.00682454,6.8245,193,193,190,190,570,2850,0,2,576,12,0,98.4456,98.4456,1.9,17.6695,23.103,10.8808,79.1059,78.6118,0.2471,25.0,30.1551,42.1053,1,0.0,28280.2902,27840.7002,27840.7002,83522.1006
39,Q1,Normal Qtum mobile contract request,39,665,0.00844502,8.445,234,234,230,223,669,3345,0,2,698,12,0,98.2906,95.2991,2.23,17.4606,22.9408,8.1197,102.3782,102.6878,0.1548,30.7474,22.6729,35.2466,1,0.0,27708.6476,27234.9955,26406.1043,79218.313
40,Q1,Normal Qtum mobile contract request,40,666,0.00625078,6.2508,185,185,183,179,537,2685,0,2,553,12,0,98.9189,96.7568,1.79,17.5764,23.0297,10.2703,82.7047,83.0388,0.167,33.7877,28.6836,36.2011,1,0.0,29596.3206,29276.3604,28636.4399,85909.3198
41,Q1,Normal Qtum mobile contract request,41,667,0.00690634,6.9063,215,215,211,204,612,3060,0,2,641,12,0,98.1395,94.8837,2.04,17.5318,23.0467,9.7674,90.3084,89.9909,0.1588,12.2059,26.3893,34.4118,1,0.0,31130.8296,30551.6513,29538.0894,88614.2683
42,Q1,Normal Qtum mobile contract request,42,668,0.00794627,7.9463,221,221,219,219,657,3285,0,2,661,12,0,99.095,99.095,2.19,17.8158,23.3753,13.1222,100.3855,100.7209,0.1677,32.9863,28.2432,42.4658,1,0.0,27811.7944,27560.104,27560.104,82680.312
43,Q1,Normal Qtum mobile contract request,43,669,0.00758241,7.5824,246,246,239,234,702,3510,0,2,731,12,0,97.1545,95.122,2.34,17.5438,22.9345,11.7886,98.6159,98.7363,0.0602,27.4188,24.9131,36.4103,1,0.0,32443.4979,31520.3089,30860.8882,92582.6646
44,Q1,Normal Qtum mobile contract request,44,670,0.00830903,8.309,251,251,247,238,714,3570,0,2,749,12,0,98.4064,94.8207,2.38,17.6501,23.1419,12.3506,87.948,87.7391,0.1045,32.605,28.0915,38.4874,1,0.0,30208.1098,29726.7057,28643.5464,85930.6391
45,Q1,Normal Qtum mobile contract request,45,671,0.00706117,7.0612,191,191,186,186,558,2790,0,2,568,12,0,97.3822,97.3822,1.86,17.9529,23.5397,14.1361,90.6679,91.143,0.2375,45.3333,40.4444,60.0,1,0.0,27049.357,26341.2587,26341.2587,79023.776
46,Q1,Normal Qtum mobile contract request,46,672,0.008744,8.744,208,208,206,203,609,3045,0,2,622,12,0,99.0385,97.5962,2.03,17.5933,23.0837,8.6538,94.4426,94.1628,0.1399,25.0,30.3265,43.0542,1,0.0,23787.7483,23559.02,23215.9275,69647.7824
47,Q1,Normal Qtum mobile contract request,47,673,0.01251548,12.5155,242,242,239,235,705,3525,0,2,723,12,0,98.7603,97.1074,2.35,17.787,23.2481,12.8099,97.0638,97.5093,0.2227,24.8851,24.0612,31.6596,2,0.0,19336.0558,19096.3526,18776.7484,56330.2451
48,Q1,Normal Qtum mobile contract request,48,674,0.01073025,10.7303,195,195,192,187,561,2805,0,2,582,12,0,98.4615,95.8974,1.87,17.5625,23.0025,11.2821,83.7809,84.3036,0.2613,35.0374,29.0107,37.5401,1,0.0,18172.9156,17893.3323,17427.3601,52282.0802
49,Q1,Normal Qtum mobile contract request,49,675,0.00712497,7.125,219,219,215,207,621,3105,0,2,653,12,0,98.1735,94.5205,2.07,17.7319,23.3845,13.242,85.4965,85.4976,0.0006,32.5024,28.0631,41.256,1,0.0,30736.95,30175.5445,29052.7335,87158.2006
50,Q1,Normal Qtum mobile contract request,50,676,0.00862255,8.6225,246,246,243,239,717,3585,0,2,735,12,0,98.7805,97.1545,2.39,17.6943,23.1357,10.5691,111.1962,111.6818,0.2428,26.9596,22.0035,30.3766,2,0.0,28529.8532,28181.9281,27718.0281,83154.0843
51,Q1,Normal Qtum mobile contract request,51,677,0.05318259,53.1826,254,254,249,242,726,3630,0,2,757,12,0,98.0315,95.2756,2.42,17.6471,23.0745,11.0236,95.7393,95.5403,0.0995,25.0,30.0086,40.4959,1,0.0,4775.9988,4681.9831,4550.3611,13651.0832
52,Q1,Normal Qtum mobile contract request,52,678,0.01154461,11.5446,258,258,253,247,741,3705,0,2,769,12,0,98.062,95.7364,2.47,17.8081,23.3028,13.5659,99.8003,99.484,0.1582,25.749,24.239,33.2794,2,0.0,22348.0973,21914.9946,21395.2714,64185.8142
53,Q1,Normal Qtum mobile contract request,53,679,0.00831594,8.3159,182,182,179,176,528,2640,0,2,543,12,0,98.3516,96.7033,1.76,17.7801,23.2879,11.5385,75.8708,75.8571,0.0068,28.7879,22.1818,32.7273,2,0.0,21885.6929,21524.9398,21164.1866,63492.5598
54,Q1,Normal Qtum mobile contract request,54,680,0.01231972,12.3197,242,242,239,234,702,3510,0,2,723,12,0,98.7603,96.6942,2.34,17.6763,23.2051,11.5702,114.1075,113.8646,0.1215,28.2621,22.1029,32.0513,2,0.0,19643.2988,19399.7868,18993.9335,56981.8006
55,Q1,Normal Qtum mobile contract request,55,681,0.00926051,9.2605,253,253,249,247,741,3705,0,2,755,12,0,98.419,97.6285,2.47,17.3267,22.7445,6.3241,94.3717,94.3564,0.0077,30.3509,22.5485,34.7368,1,0.0,27320.2948,26888.3534,26672.3827,80017.1481
56,Q1,Normal Qtum mobile contract request,56,682,0.00728893,7.2889,206,206,204,201,603,3015,0,2,616,12,0,99.0291,97.5728,2.01,17.773,23.2228,13.5922,94.5992,94.5447,0.0273,26.4677,24.4757,34.6269,1,0.0,28262.0202,27987.6317,27576.0488,82728.1465
57,Q1,Normal Qtum mobile contract request,57,683,0.00762934,7.6293,248,248,244,240,720,3600,0,2,740,12,0,98.3871,96.7742,2.4,17.9181,23.4683,16.129,114.0426,114.5789,0.2681,40.4583,42.0168,60.0,1,0.0,32506.0713,31981.7798,31457.4883,94372.465
58,Q1,Normal Qtum mobile contract request,58,684,0.00756426,7.5643,213,213,210,203,609,3045,0,2,636,12,0,98.5915,95.3052,2.03,17.7405,23.3037,13.1455,92.4956,92.1273,0.1842,28.0049,31.4354,39.6059,1,0.0,28158.7546,27762.1524,26836.7473,80510.2419
59,Q1,Normal Qtum mobile contract request,59,685,0.00693139,6.9314,194,194,190,185,555,2775,0,2,578,12,0,97.9381,95.3608,1.85,17.5012,23.051,9.2784,84.4185,83.9643,0.2271,30.3243,22.5406,34.7027,1,0.0,27988.606,27411.5214,26690.1656,80070.4967
60,Q1,Normal Qtum mobile contract request,60,686,0.00767456,7.6746,215,215,213,210,630,3150,0,2,643,12,0,99.0698,97.6744,2.1,17.7927,23.316,14.4186,102.088,102.3148,0.1134,30.8571,34.0327,41.1429,1,0.0,28014.6208,27754.0196,27363.118,82089.3539
61,Q1,Normal Qtum mobile contract request,61,687,0.00740475,7.4048,197,197,191,183,549,2745,0,2,585,12,0,96.9543,92.8934,1.83,17.7129,23.1512,12.6904,80.0253,79.6756,0.1749,25.0,30.0506,38.7978,1,0.0,26604.5336,25794.2432,24713.8561,74141.5683
62,Q1,Normal Qtum mobile contract request,62,688,0.00765219,7.6522,239,239,236,232,696,3480,0,2,714,12,0,98.7448,97.0711,2.32,17.7863,23.3422,13.8075,114.1938,113.9202,0.1368,25.0,30.0094,39.4828,1,0.0,31232.8807,30840.8362,30318.1102,90954.3305
63,Q1,Normal Qtum mobile contract request,63,689,0.00694226,6.9423,220,220,217,213,639,3195,0,2,657,12,0,98.6364,96.8182,2.13,17.9544,23.4114,18.6364,92.1729,92.1594,0.0067,25.7277,24.2332,33.2394,2,0.0,31689.9867,31257.8505,30681.6689,92045.0067
64,Q1,Normal Qtum mobile contract request,64,690,0.00721882,7.2188,207,207,205,196,588,2940,0,1,619,12,0,99.0338,94.686,1.96,17.2886,22.9777,6.7633,74.5001,75.0471,0.2735,27.1429,22.0092,30.6122,2,0.0,28675.0546,28398.0009,27151.2594,81453.7782
65,Q1,Normal Qtum mobile contract request,65,691,0.00949389,9.4939,219,219,217,210,630,3150,0,2,655,12,0,99.0868,95.8904,2.1,17.8019,23.2123,11.8721,92.6921,92.9054,0.1066,25.5238,24.1814,32.8571,2,0.0,23067.4652,22856.8034,22119.4872,66358.4615
66,Q1,Normal Qtum mobile contract request,66,692,0.00817031,8.1703,215,215,211,208,624,3120,0,2,641,12,0,98.1395,96.7442,2.08,17.6889,23.0653,10.6977,85.1799,84.716,0.2319,29.1346,22.2461,33.1731,2,0.0,26314.7749,25825.1977,25458.0148,76374.0443
67,Q1,Normal Qtum mobile contract request,67,693,0.00747616,7.4762,208,208,204,199,597,2985,0,2,620,12,0,98.0769,95.6731,1.99,17.5866,23.1553,10.5769,104.5716,104.1922,0.1897,25.0452,24.0854,31.9598,2,0.0,27821.7695,27286.7354,26617.9429,79853.8287
68,Q1,Normal Qtum mobile contract request,68,694,0.00842613,8.4261,259,259,253,247,741,3705,0,2,771,12,0,97.6834,95.3668,2.47,17.6991,23.2011,12.3552,93.8983,94.1776,0.1396,25.0,30.0021,40.2429,1,0.0,30737.7244,30025.6535,29313.5827,87940.7481
69,Q1,Normal Qtum mobile contract request,69,695,0.00757568,7.5757,251,251,247,242,726,3630,0,2,749,12,0,98.4064,96.4143,2.42,17.7601,23.2799,11.5538,96.6439,96.2897,0.1771,33.124,28.3158,42.8099,1,0.0,33132.3218,32604.3167,31944.3102,95832.9307
70,Q1,Normal Qtum mobile contract request,70,696,0.00907732,9.0773,258,258,254,245,735,3675,0,2,770,12,0,98.4496,94.9612,2.45,17.657,22.9937,12.4031,98.291,98.6903,0.1996,30.0,22.449,34.2857,1,0.0,28422.4953,27981.8365,26990.3541,80971.0623
71,Q1,Normal Qtum mobile contract request,71,697,0.00791923,7.9192,195,195,195,193,579,2895,0,2,585,12,0,100.0,98.9744,1.93,17.6697,23.295,12.3077,96.2907,96.3214,0.0154,25.0,31.1369,45.6995,1,0.0,24623.6123,24623.6123,24371.0624,73113.1873
72,Q1,Normal Qtum mobile contract request,72,698,0.0075378,7.5378,211,211,209,203,609,3045,0,2,631,12,0,99.0521,96.2085,2.03,17.6035,23.1199,10.9005,93.5384,93.169,0.1847,40.1232,42.0012,60.0,1,0.0,27992.245,27726.9156,26930.9276,80792.7828
73,Q1,Normal Qtum mobile contract request,73,699,0.00637249,6.3725,185,185,180,175,525,2625,0,2,550,12,0,97.2973,94.5946,1.75,17.8484,23.4511,11.8919,77.6514,77.5418,0.0548,29.2,22.2593,33.2571,2,0.0,29031.0427,28246.4199,27461.7971,82385.3913
74,Q1,Normal Qtum mobile contract request,74,700,0.00756433,7.5643,233,233,224,220,660,3300,0,2,690,12,0,96.1373,94.4206,2.2,17.7827,23.1371,14.1631,104.5808,104.283,0.1489,32.6061,23.4255,37.6364,1,0.0,30802.4677,29612.6729,29083.8751,87251.6254
75,Q1,Normal Qtum mobile contract request,75,701,0.00774829,7.7483,187,187,184,180,540,2700,0,2,558,12,0,98.3957,96.2567,1.8,17.6101,23.0581,13.369,90.4558,89.9465,0.2547,31.3333,22.88,36.0,1,0.0,24134.3605,23747.1782,23230.9352,69692.8057
76,Q1,Normal Qtum mobile contract request,76,702,0.00722272,7.2227,201,201,199,196,588,2940,0,2,601,12,0,99.005,97.5124,1.96,17.7602,23.2751,11.9403,81.7741,82.1939,0.2099,32.6531,28.1066,41.6327,1,0.0,27828.8473,27551.9434,27136.5874,81409.7623
77,Q1,Normal Qtum mobile contract request,77,703,0.00877729,8.7773,224,224,218,214,642,3210,0,2,666,12,0,97.3214,95.5357,2.14,17.7279,23.0568,11.6071,106.2996,105.7944,0.2526,32.1495,28.0056,39.6262,1,0.0,25520.4171,24836.8345,24381.1128,73143.3384
78,Q1,Normal Qtum mobile contract request,78,704,0.01001293,10.0129,249,249,246,243,729,3645,0,2,744,12,0,98.7952,97.5904,2.43,17.7335,23.1228,11.6466,106.5474,106.6106,0.0316,24.7243,24.041,31.358,2,0.0,24867.8359,24568.2235,24268.611,72805.8329
79,Q1,Normal Qtum mobile contract request,79,705,0.00783226,7.8323,258,258,252,249,747,3735,0,2,768,12,0,97.6744,96.5116,2.49,17.539,23.0585,13.1783,107.1295,107.42,0.1453,30.5087,22.5965,34.9398,1,0.0,32940.688,32174.6255,31791.5942,95374.7827
80,Q1,Normal Qtum mobile contract request,80,706,0.00931138,9.3114,184,184,183,180,540,2700,0,2,551,12,0,99.4565,97.8261,1.8,17.4186,22.7726,8.6957,85.4704,85.7928,0.1612,28.9778,25.9358,39.3333,1,0.0,19760.7595,19653.3641,19331.1778,57993.5333
81,Q1,Normal Qtum mobile contract request,81,707,0.00629641,6.2964,181,181,178,176,528,2640,0,2,540,12,0,98.3425,97.2376,1.76,17.804,23.3816,16.0221,89.5578,89.8213,0.1318,34.0,29.0,45.0,1,0.0,28746.5625,28270.1002,27952.4586,83857.3758
82,Q1,Normal Qtum mobile contract request,82,708,0.00810068,8.1007,253,253,249,248,744,3720,0,2,755,12,0,98.419,98.0237,2.48,17.4867,22.8933,10.2767,88.8408,89.1885,0.1739,27.9839,22.0701,31.6935,2,0.0,31231.9344,30738.1489,30614.7025,91844.1075
83,Q1,Normal Qtum mobile contract request,83,709,0.00714917,7.1492,211,211,206,201,603,3015,0,2,628,12,0,97.6303,95.2607,2.01,17.5435,23.0276,9.0047,91.9005,92.0209,0.0602,28.6401,22.1574,32.5373,2,0.0,29513.9362,28814.5539,28115.1715,84345.5145
84,Q1,Normal Qtum mobile contract request,84,710,0.00619611,6.1961,183,183,181,181,543,2715,0,2,547,12,0,98.9071,98.9071,1.81,17.8108,23.334,13.6612,102.8592,103.0131,0.077,32.3978,28.0396,40.9945,1,0.0,29534.6501,29211.8671,29211.8671,87635.6012
85,Q1,Normal Qtum mobile contract request,85,711,0.00710657,7.1066,197,197,193,188,564,2820,0,2,587,12,0,97.9695,95.4315,1.88,17.6847,23.1345,13.198,93.635,93.4734,0.0808,32.8511,28.1811,37.8723,1,0.0,27720.8351,27157.9756,26454.4011,79363.2032
86,Q1,Normal Qtum mobile contract request,86,712,0.00739984,7.3998,224,224,220,214,642,3210,0,2,668,12,0,98.2143,95.5357,2.14,17.8001,23.3495,15.1786,92.7871,92.4888,0.1491,26.6916,24.566,35.0467,1,0.0,30270.937,29730.3846,28919.5559,86758.6678
87,Q1,Normal Qtum mobile contract request,87,713,0.00635882,6.3588,187,187,185,180,540,2700,0,2,559,12,0,98.9305,96.2567,1.8,17.7436,23.2832,12.8342,80.0319,80.0617,0.0149,30.5556,22.6111,35.0,1,0.0,29407.9627,29093.439,28307.1298,84921.3895
88,Q1,Normal Qtum mobile contract request,88,714,0.00691461,6.9146,205,205,199,192,576,2880,0,2,609,12,0,97.0732,93.6585,1.92,17.66,23.2685,11.2195,105.956,105.9084,0.0238,24.8333,24.0543,31.5625,2,0.0,29647.3784,28779.6503,27767.3008,83301.9023
89,Q1,Normal Qtum mobile contract request,89,715,0.00785386,7.8539,204,204,202,198,594,2970,0,2,610,12,0,99.0196,97.0588,1.98,17.4048,23.0012,7.3529,90.8661,90.9565,0.0452,34.5051,28.8636,36.9697,1,0.0,25974.4989,25719.8469,25210.543,75631.6291
90,Q1,Normal Qtum mobile contract request,90,716,0.01113145,11.1314,257,257,251,242,726,3630,0,2,765,12,0,97.6654,94.1634,2.42,17.8002,23.2531,14.786,112.1363,112.3201,0.0919,25.0,30.0956,41.6529,1,0.0,23087.7483,22548.7347,21740.2143,65220.643
91,Q1,Normal Qtum mobile contract request,91,717,0.00786134,7.8613,230,230,227,225,675,3375,0,2,687,12,0,98.6957,97.8261,2.25,17.9311,23.461,15.2174,99.602,99.7152,0.0566,29.2593,22.2716,33.3333,1,0.0,29257.0838,28875.4696,28621.0602,85863.1806
92,Q1,Normal Qtum mobile contract request,92,718,0.00767304,7.673,210,210,207,203,609,3045,0,2,627,12,0,98.5714,96.6667,2.03,17.7129,23.2908,13.8095,90.0705,89.4224,0.3241,31.8391,23.0811,36.6502,1,0.0,27368.5528,26977.5734,26456.2677,79368.803
93,Q1,Normal Qtum mobile contract request,93,719,0.00733501,7.335,202,202,196,194,582,2910,0,2,600,12,0,97.0297,96.0396,1.94,17.9811,23.3257,16.3366,95.3977,95.4259,0.0141,32.6804,23.4614,37.732,1,0.0,27539.1656,26721.1706,26448.5056,79345.5167
94,Q1,Normal Qtum mobile contract request,94,720,0.00750494,7.5049,186,186,185,180,540,2700,0,2,557,12,0,99.4624,96.7742,1.8,17.9498,23.4615,15.0538,78.0584,77.7855,0.1365,41.2444,40.0242,60.0,1,0.0,24783.6791,24650.4335,23984.2056,71952.6168
95,Q1,Normal Qtum mobile contract request,95,721,0.00721449,7.2145,184,184,182,176,528,2640,0,2,550,12,0,98.913,95.6522,1.76,17.7576,23.2824,12.5,84.8666,84.7116,0.0775,30.9091,22.7273,35.4545,1,0.0,25504.2212,25227.0014,24395.342,73186.0261
96,Q1,Normal Qtum mobile contract request,96,722,0.00976071,9.7607,257,257,254,250,750,3750,0,2,768,12,0,98.8327,97.2763,2.5,17.5769,23.1028,11.284,109.9336,109.3535,0.2901,29.6533,22.3604,33.84,1,0.0,26330.0626,26022.7078,25612.9014,76838.7041
97,Q1,Normal Qtum mobile contract request,97,723,0.00669842,6.6984,182,182,174,172,516,2580,0,2,538,12,0,95.6044,94.5055,1.72,17.6197,23.1304,12.0879,87.4592,87.2161,0.1216,26.938,22.003,30.3488,2,0.0,27170.5743,25976.2634,25677.6856,77033.0569
98,Q1,Normal Qtum mobile contract request,98,724,0.00696632,6.9663,183,183,179,174,522,2610,0,1,545,12,0,97.8142,95.082,1.74,17.6037,23.201,8.1967,75.4781,72.416,1.5311,32.5517,28.0761,41.3793,1,0.0,26269.2648,25695.0733,24977.3338,74932.0014
99,Q1,Normal Qtum mobile contract request,99,725,0.00759989,7.5999,214,214,211,205,615,3075,0,2,639,12,0,98.5981,95.7944,2.05,17.8952,23.4165,13.5514,91.6865,91.9771,0.1453,27.6911,22.0424,31.3171,2,0.0,28158.2875,27763.5451,26974.0604,80922.1813
100,Q1,Normal Qtum mobile contract request,100,726,0.00815538,8.1554,257,257,254,247,741,3705,0,2,768,12,0,98.8327,96.1089,2.47,17.551,22.9974,9.7276,93.3023,92.8803,0.211,32.2915,28.0212,39.2713,1,0.0,31512.9283,31145.0731,30286.7444,90860.2331
101,Q2,High-load Qtum mobile dApp,1,627,0.01578386,15.7839,493,493,489,476,1428,7140,0,2,1475,16,0,99.1886,96.5517,3.4077,18.204,23.7137,18.4584,172.3296,173.1146,0.3925,26.7647,22.0004,30.1261,2,0.0,31234.4362,30981.0128,30157.3867,90472.1601
102,Q2,High-load Qtum mobile dApp,2,628,0.01516241,15.1624,513,513,503,496,1488,7440,0,2,1529,16,0,98.0507,96.6862,3.4125,18.066,23.5821,19.2982,160.9396,161.3946,0.2275,27.3253,22.0175,30.8468,2,0.0,33833.6604,33174.1349,32712.467,98137.4009
103,Q2,High-load Qtum mobile dApp,3,629,0.0136769,13.6769,490,490,484,469,1407,7035,0,2,1464,16,0,98.7755,95.7143,3.3782,18.0977,23.5615,18.9796,175.8724,175.567,0.1527,32.0171,28.0001,40.0426,1,0.0,35826.8373,35388.1414,34291.4015,102874.2044
104,Q2,High-load Qtum mobile dApp,4,630,0.01238919,12.3892,464,464,454,442,1326,6630,0,2,1382,16,0,97.8448,95.2586,3.3621,18.0406,23.4857,17.6724,165.7026,165.2723,0.2151,28.4615,22.1302,32.3077,2,0.0,37452.0166,36644.8611,35676.2745,107028.8234
105,Q2,High-load Qtum mobile dApp,5,631,0.01140284,11.4028,409,409,406,395,1185,5925,0,2,1224,16,0,99.2665,96.577,3.4086,17.9998,23.5396,18.0929,146.1403,145.455,0.3427,27.789,22.0509,31.443,2,0.0,35868.2668,35605.1744,34640.5022,103921.5065
106,Q2,High-load Qtum mobile dApp,6,632,0.01378278,13.7828,500,500,491,479,1437,7185,0,2,1491,16,0,98.2,95.8,3.3812,18.0019,23.3731,17.4,178.0085,177.4314,0.2885,32.618,28.0955,38.4551,1,0.0,36277.1516,35624.1629,34753.5113,104260.5338
107,Q2,High-load Qtum mobile dApp,7,633,0.01336674,13.3667,504,504,495,483,1449,7245,0,2,1503,16,0,98.2143,95.8333,3.3824,18.2719,23.8143,21.0317,174.9324,174.9873,0.0275,32.8447,28.1784,37.8882,1,0.0,37705.526,37032.213,36134.4624,108403.3872
108,Q2,High-load Qtum mobile dApp,8,634,0.01234892,12.3489,427,427,419,405,1215,6075,0,2,1273,16,0,98.1265,94.8478,3.3476,18.1696,23.6932,18.9696,149.3264,149.6453,0.1594,25.1457,24.1025,32.1481,2,0.0,34577.9142,33930.0844,32796.3823,98389.147
109,Q2,High-load Qtum mobile dApp,9,635,0.01109439,11.0944,384,384,377,369,1107,5535,0,2,1145,16,0,98.1771,96.0938,3.3915,17.7831,23.2529,14.3229,137.3565,137.1967,0.0799,26.9828,22.004,30.4065,2,0.0,34612.094,33981.1443,33260.059,99780.1771
110,Q2,High-load Qtum mobile dApp,10,636,0.01398567,13.9857,443,443,438,431,1293,6465,0,2,1324,16,0,98.8713,97.2912,3.4338,18.0883,23.5583,19.1874,164.2536,164.0198,0.1169,32.2784,28.0194,39.3039,1,0.0,31675.27,31317.7613,30817.2491,92451.7474
111,Q2,High-load Qtum mobile dApp,11,637,0.01054641,10.5464,365,365,362,358,1074,5370,0,2,1092,16,0,99.1781,98.0822,3.4617,18.0538,23.6033,19.1781,134.0122,133.5334,0.2394,27.8399,22.0556,31.5084,2,0.0,34608.9398,34324.4828,33945.2067,101835.6202
112,Q2,High-load Qtum mobile dApp,12,638,0.01350031,13.5003,482,482,476,469,1407,7035,0,2,1440,16,0,98.7552,97.3029,3.4342,18.1667,23.7391,20.5394,181.1979,181.4925,0.1473,24.2388,24.0045,30.4478,2,0.0,35702.8812,35258.447,34739.9404,104219.8213
113,Q2,High-load Qtum mobile dApp,13,639,0.01131738,11.3174,389,389,381,375,1125,5625,0,2,1159,16,0,97.9434,96.401,3.4024,17.912,23.4364,17.2237,128.1999,128.1205,0.0397,28.72,22.1704,32.64,2,0.0,34371.9099,33665.0326,33134.8746,99404.6237
114,Q2,High-load Qtum mobile dApp,14,640,0.01275328,12.7533,459,459,455,445,1335,6675,0,2,1373,16,0,99.1285,96.9499,3.4218,17.8586,23.3218,15.6863,151.2102,150.7353,0.2374,41.4742,40.034,60.0,1,0.0,35990.7384,35677.0936,34892.9817,104678.945
115,Q2,High-load Qtum mobile dApp,15,641,0.0130936,13.0936,486,486,477,469,1407,7035,0,2,1449,16,0,98.1481,96.5021,3.406,18.0261,23.5078,18.5185,160.3972,160.3422,0.0275,27.0149,22.0049,30.4478,2,0.0,37117.3817,36430.0227,35819.037,107457.1111
116,Q2,High-load Qtum mobile dApp,16,642,0.01075871,10.7587,370,370,364,359,1077,5385,0,2,1104,16,0,98.3784,97.027,3.4245,18.0723,23.5382,19.4595,129.2629,129.8067,0.2719,32.6017,28.0905,41.5042,1,0.0,34390.7465,33833.0588,33368.3189,100104.9568
117,Q2,High-load Qtum mobile dApp,17,643,0.01263955,12.6395,405,405,397,384,1152,5760,0,2,1207,16,0,98.0247,94.8148,3.3464,18.2229,23.7581,19.5062,149.1775,149.5409,0.1817,32.75,28.1406,38.125,1,0.0,32042.2901,31409.356,30380.838,91142.5141
118,Q2,High-load Qtum mobile dApp,18,644,0.02562574,25.6257,500,500,493,483,1449,7245,0,2,1493,16,0,98.6,96.6,3.4094,17.89,23.4185,15.6,166.1588,165.7908,0.184,29.6135,22.3509,33.7888,1,0.0,19511.6332,19238.4703,18848.2377,56544.713
119,Q2,High-load Qtum mobile dApp,19,645,0.01321942,13.2194,424,424,415,404,1212,6060,0,2,1263,16,0,97.8774,95.283,3.3629,18.2069,23.747,19.5755,151.5191,151.5107,0.0042,24.1584,24.002,30.297,2,0.0,32074.0123,31393.196,30561.0872,91683.2616
120,Q2,High-load Qtum mobile dApp,20,646,0.01852547,18.5255,493,493,481,472,1416,7080,0,2,1467,16,0,97.5659,95.7404,3.3791,18.1359,23.6022,21.0953,173.2328,173.3758,0.0715,41.7627,40.0485,60.0,1,0.0,26612.0075,25964.2507,25478.4332,76435.2995
121,Q2,High-load Qtum mobile dApp,21,647,0.01492546,14.9255,456,456,448,441,1323,6615,0,2,1360,16,0,98.2456,96.7105,3.4133,18.2833,23.8166,19.9561,166.9128,166.8078,0.0525,28.0952,22.0825,31.8367,2,0.0,30551.8181,30015.8213,29546.8241,88640.4722
